def.event_author_id,def.event_object_creator,a.native_author,b.native_creator,time.datetime,def.d_release,time.Year,time.Month,time.Day,def.event_url,def.row_type,weight,deo.Event_object_native_name
1264,1265,ekuleshov,steffen.pingel,11-19-2007 21:32:35,2.2,2007,11,19,f487857a-c0a8-0169-2a8c-eeea06576387,1,0.0079570065658118,create a new bug from a comment
1260,1264,mik.kersten,ekuleshov,11-19-2007 22:19:18,2.2,2007,11,19,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.142894191624432,group working sets by task repository in working set edit dialog
1260,1260,mik.kersten,mik.kersten,11-19-2007 22:19:20,2.2,2007,11,19,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.99,group working sets by task repository in working set edit dialog
1265,1265,steffen.pingel,steffen.pingel,11-19-2007 22:33:02,2.2,2007,11,19,f491296e-c0a8-0169-2a8c-eeeabe265f19,0,0.99,report as bug always reports the same error
1260,1264,mik.kersten,ekuleshov,11-20-2007 03:07:17,2.2,2007,11,20,f48947e5-c0a8-0169-2a8c-eeea7e8dabd3,0,0.00215527256234625,bugzilla urls with anchor should seek to a comment within the
1260,1264,mik.kersten,ekuleshov,11-20-2007 03:07:17,2.2,2007,11,20,f48947e5-c0a8-0169-2a8c-eeea7e8dabd3,1,0.00239547990909362,bugzilla urls with anchor should seek to a comment within the
1260,1261,mik.kersten,robert.elves,11-20-2007 03:07:17,2.2,2007,11,20,f48947e5-c0a8-0169-2a8c-eeea7e8dabd3,1,0.00239550094708095,bugzilla urls with anchor should seek to a comment within the
1260,1260,mik.kersten,mik.kersten,11-20-2007 03:07:22,2.2,2007,11,20,f48947e5-c0a8-0169-2a8c-eeea7e8dabd3,1,0.99,bugzilla urls with anchor should seek to a comment within the
1260,1262,mik.kersten,wmitsuda,11-20-2007 03:08:32,2.2,2007,11,20,f48c739c-c0a8-0169-2a8c-eeea97e3811a,1,0.00440334999479979,improve sizing of New Comment and Notes areas of the Task Editor
1260,1260,mik.kersten,mik.kersten,11-20-2007 03:44:03,2.2,2007,11,20,f490e878-c0a8-0169-2a8c-eeea852a9b28,1,0.0116189500386223,hyperlink tooltips follow mouse pointer
1260,1265,mik.kersten,steffen.pingel,11-20-2007 03:44:03,2.2,2007,11,20,f490e878-c0a8-0169-2a8c-eeea852a9b28,1,0.0116851278262331,hyperlink tooltips follow mouse pointer
1281,1295,mm105,cpuidle,11-20-2007 04:46:55,2.2,2007,11,20,f48ea360-c0a8-0169-2a8c-eeea0a797a66,0,0.00354829593015641,Task query shows incoming changes when there are none
1281,1295,mm105,cpuidle,11-20-2007 04:46:55,2.2,2007,11,20,f48ea360-c0a8-0169-2a8c-eeea0a797a66,1,0.00354831872115209,Task query shows incoming changes when there are none
1281,1260,mm105,mik.kersten,11-20-2007 04:46:55,2.2,2007,11,20,f48ea360-c0a8-0169-2a8c-eeea0a797a66,1,0.00355742455690742,Task query shows incoming changes when there are none
1281,1261,mm105,robert.elves,11-20-2007 04:46:55,2.2,2007,11,20,f48ea360-c0a8-0169-2a8c-eeea0a797a66,1,0.00356660085766757,Task query shows incoming changes when there are none
1265,1260,steffen.pingel,mik.kersten,11-20-2007 12:28:58,2.2,2007,11,20,f48a1501-c0a8-0169-2a8c-eeea2e1d660f,1,0.00516157337740605,JIRA connector: Show attribute to pick assignee when creating new bug.
1260,1260,mik.kersten,mik.kersten,11-20-2007 12:43:19,2.2,2007,11,20,f490260a-c0a8-0169-2a8c-eeea52f4aed9,1,0.0060207128243205,HTML2TextReader reader get stuck in infinite loop
1260,1395,mik.kersten,George.Lindholm,11-20-2007 12:43:19,2.2,2007,11,20,f490260a-c0a8-0169-2a8c-eeea52f4aed9,1,0.0280238565950787,HTML2TextReader reader get stuck in infinite loop
1260,1264,mik.kersten,ekuleshov,11-20-2007 12:43:19,2.2,2007,11,20,f490260a-c0a8-0169-2a8c-eeea52f4aed9,1,0.0290049573977979,HTML2TextReader reader get stuck in infinite loop
1260,1264,mik.kersten,ekuleshov,11-20-2007 12:44:18,2.2,2007,11,20,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,1,0.0306397307992136,"add ""Repository Properties"" button to query"
1392,1367,mugwai2,hbershadskaya,11-20-2007 13:14:37,2.2,2007,11,20,f4906ae1-c0a8-0169-2a8c-eeead339d976,0,0.00559921076171605,"XPlanner new task addition doesn't default to current user"
1392,1367,mugwai2,hbershadskaya,11-20-2007 13:14:37,2.2,2007,11,20,f4906ae1-c0a8-0169-2a8c-eeead339d976,1,0.00559938987627798,"XPlanner new task addition doesn't default to current user"
1392,1261,mugwai2,robert.elves,11-20-2007 13:14:37,2.2,2007,11,20,f4906ae1-c0a8-0169-2a8c-eeead339d976,1,0.0059991186515321,"XPlanner new task addition doesn't default to current user"
1264,1264,ekuleshov,ekuleshov,11-20-2007 13:52:19,2.2,2007,11,20,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,1,0.0296881271232513,"add ""Repository Properties"" button to query"
1264,1260,ekuleshov,mik.kersten,11-20-2007 13:52:19,2.2,2007,11,20,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,1,0.119181994554912,"add ""Repository Properties"" button to query"
1265,1395,steffen.pingel,George.Lindholm,11-20-2007 14:35:54,2.2,2007,11,20,f490260a-c0a8-0169-2a8c-eeea52f4aed9,1,0.0268352800561936,HTML2TextReader reader get stuck in infinite loop
1265,1264,steffen.pingel,ekuleshov,11-20-2007 14:35:54,2.2,2007,11,20,f490260a-c0a8-0169-2a8c-eeea52f4aed9,1,0.0277038256873196,HTML2TextReader reader get stuck in infinite loop
1261,1261,robert.elves,robert.elves,11-20-2007 15:19:03,2.2,2007,11,20,f48e8bc7-c0a8-0169-2a8c-eeea65144e04,1,0.99,Ensure orphaned queries/tasks are handled correctly when repository missing
1339,1338,dwballance,dg,11-20-2007 15:39:20,2.2,2007,11,20,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,0,0.00406037897644763,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1339,1338,dwballance,dg,11-20-2007 15:39:20,2.2,2007,11,20,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.00410883896237961,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1339,1261,dwballance,robert.elves,11-20-2007 15:39:20,2.2,2007,11,20,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.00493926874804565,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1339,1298,dwballance,eclipse,11-20-2007 15:39:20,2.2,2007,11,20,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.00499662366580386,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1339,1269,dwballance,Frank,11-20-2007 15:39:20,2.2,2007,11,20,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.00502563971085131,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1339,1339,dwballance,dwballance,11-20-2007 15:42:59,2.2,2007,11,20,f48f29f8-c0a8-0169-2a8c-eeea81c3ac51,1,0.495,"cannot be updated when using ""local users"" and Bugzilla 3.02 ( match failed bug )"
1265,1606,steffen.pingel,c.reynolds,11-20-2007 16:10:00,2.2,2007,11,20,f48c14f1-c0a8-0169-2a8c-eeea657ffadf,0,0.00309288930583954,[context] removing multiple elements from the task context causes excessive refresh
1265,1260,steffen.pingel,mik.kersten,11-20-2007 16:10:00,2.2,2007,11,20,f48c14f1-c0a8-0169-2a8c-eeea657ffadf,1,0.00310325006160293,[context] removing multiple elements from the task context causes excessive refresh
1265,1260,steffen.pingel,mik.kersten,11-20-2007 16:20:32,2.2,2007,11,20,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,0,0.0278129392474382,"add ""Repository Properties"" button to query"
1265,1264,steffen.pingel,ekuleshov,11-20-2007 16:20:32,2.2,2007,11,20,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,1,0.027890090406041,"add ""Repository Properties"" button to query"
1265,1260,steffen.pingel,mik.kersten,11-20-2007 16:20:32,2.2,2007,11,20,f4911b7d-c0a8-0169-2a8c-eeea5d73790f,1,0.0672055790969109,"add ""Repository Properties"" button to query"
1265,1260,steffen.pingel,mik.kersten,11-20-2007 18:20:59,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,0,0.0276821566768181,group working sets by task repository in working set edit dialog
1265,1264,steffen.pingel,ekuleshov,11-20-2007 18:20:59,2.2,2007,11,20,f4912535-c0a8-0169-2a8c-eeeac20f8fb1,1,0.0280014285349873,group working sets by task repository in working set edit dialog
