b.source_id	c.target_id	weight	release
361	173	0.982318271	2
373	10	0.063809694	2.1
373	13	0.13408497	2.1
373	14	0.030086408	2.1
373	24	0.050699062	2.1
373	25	0.025625913	2.1
373	28	0.00319999	2.1
373	34	0.036106086	2.1
373	48	0.003202613	2.1
373	60	0.689179876	2.1
373	88	0.003548515	2.1
373	102	0.099920064	2.1
373	122	0.012224939	2.1
373	132	0.012538877	2.1
373	133	0.006617883	2.1
373	134	0.007357594	2.1
373	150	0.026690154	2.1
373	164	0.067787523	2.1
373	166	0.003200287	2.1
373	173	0.069147513	2.1
373	178	0.042381861	2.1
373	185	0.11615751	2.1
373	195	0.07671565	2.1
373	203	0.011103037	2.1
373	212	0.025200305	2.1
403	42	1.332001332	2
424	56	0.022294804	2
457	34	0.13922535	2.1
457	68	0.024538956	2.1
463	463	0.06989345	2
35	241	0.002613782	2
35	304	0.011792589	2
35	373	0.02553618	2
56	304	0.005094591	2
88	217	0.050210886	2
88	304	0.003543104	2
88	309	0.002108926	2
143	216	0.355423439	2.1
143	275	0.125897737	2.1
143	288	0.036783188	2.1
143	302	20.83333333	2.1
143	333	0.030668575	2.1
143	352	0.119770725	2.1
143	396	0.149382552	2.1
166	304	0.002292768	2
166	309	0.002254736	2
217	217	0.038607057	2
217	304	0.002220902	2
217	309	0.002185193	2
304	216	0.029560505	2.1
304	219	0.011061929	2.1
304	221	0.075285142	2.1
304	236	0.020985992	2.1
304	240	0.009299823	2.1
304	266	0.0023286	2.1
304	267	0.016671799	2.1
304	268	0.016916753	2.1
304	275	0.080650736	2.1
304	282	0.040947805	2.1
304	283	0.0533633	2.1
304	288	0.126914291	2.1
304	293	8.771929825	2.1
304	299	0.155666252	2.1
304	310	0.030804059	2.1
304	316	0.012560342	2.1
304	317	0.441501104	2.1
304	319	0.003830663	2.1
304	352	0.024705388	2.1
304	367	0.029643728	2.1
304	395	0.002233248	2.1
304	396	0.011193132	2.1
304	410	0.013021486	2.1
304	430	0.288954706	2.1
304	434	0.057400613	2.1
304	442	0.013201407	2.1
304	443	0.017754358	2.1
304	444	0.002149654	2.1
346	295	3.162555345	2
346	304	0.36504344	2
346	346	0.259759537	2
346	391	7.421150278	2
346	399	0.228571429	2
361	217	0.007974386	2
361	304	0.004354339	2
361	309	0.001715186	2
373	217	0.003351673	2.1
373	220	0.008919321	2.1
373	226	0.045859711	2.1
373	241	0.002314308	2.1
373	248	0.02651051	2.1
373	266	0.021954138	2.1
373	276	0.017705986	2.1
373	288	0.018631862	2.1
373	293	0.018084491	2.1
373	295	0.4	2.1
373	308	0.014863553	2.1
373	309	0.001322779	2.1
373	310	0.034140501	2.1
373	328	0.106658134	2.1
373	352	0.08494132	2.1
373	361	0.005781784	2.1
373	364	0.036506565	2.1
373	367	0.019393751	2.1
373	371	0.050999592	2.1
373	442	0.00462932	2.1
373	443	0.102147654	2.1
403	304	1.990049751	2
403	399	3.96039604	2
403	403	200	2
424	304	0.027120817	2
424	424	0.013767783	2
457	369	0.165535507	2.1
457	373	0.005545342	2.1
457	430	0.607256718	2.1
13	13	0.169836329	2.1
34	34	7.212776919	2.1
34	159	51.28205128	2.1
68	10	0.006334727	2.1
68	68	0.022373949	2.1
68	132	0.009891556	2.1
68	143	0.00676987	2.1
68	159	0.014278269	2.1
68	207	0.001739415	2.1
68	276	0.050525465	2.1
71	71	1	2.1
89	89	0.041106904	2.1
89	159	0.031630955	2.1
108	108	0.113253243	2.1
132	132	0.049386166	2.1
132	141	0.031442586	2.1
132	226	0.047506916	2.1
133	133	1.31302521	2.1
133	143	0.599340725	2.1
143	449	0.0037219	2.1
143	1	0.00994629	2.1
143	10	0.007946091	2.1
143	24	0.115362541	2.1
143	25	0.697836706	2.1
143	30	0.245519273	2.1
143	33	0.043037285	2.1
143	42	0.016791446	2.1
143	68	0.029550933	2.1
143	84	38.46153846	2.1
143	89	0.015171788	2.1
143	108	0.073129708	2.1
143	112	0.012672757	2.1
143	132	0.006593131	2.1
143	133	0.023285056	2.1
143	141	0.856164384	2.1
143	149	0.132105486	2.1
143	164	0.043033465	2.1
143	188	0.088059563	2.1
143	195	0.065264779	2.1
143	205	0.438837082	2.1
143	221	0.276076699	2.1
143	240	0.008707208	2.1
143	248	0.071319554	2.1
143	267	1.444043321	2.1
143	268	0.014848752	2.1
159	10	0.044973803	2.1
159	14	0.026826833	2.1
159	33	0.021731771	2.1
159	34	0.041966553	2.1
159	159	0.019013092	2.1
159	243	0.002255288	2.1
205	143	14.92537313	2.1
205	205	33.70786517	2.1
212	143	0.014130224	2.1
212	203	0.01209442	2.1
212	212	0.033992559	2.1
238	238	0.617821337	2.1
272	272	0.109009647	2.1
283	30	0.131078778	2.1
283	143	0.281293952	2.1
293	159	1	2.1
