personA	personB	weight	release
304	442	2	2.1
276	449	1	2.1
304	205	9	2.1
268	143	1	2.1
310	310	1834	2.1
266	266	2	2.1
272	272	2	2.1
302	463	4	2.1
373	276	27	2.1
328	373	8	2.1
373	102	1	2.1
319	178	1	2.1
399	433	4	2.1
399	132	55	2.1
410	410	37	2.1
457	34	10	2.1
410	258	8	2.1
10	143	19	2.1
68	352	1	2.1
25	248	5	2.1
68	276	2	2.1
25	173	1	2.1
143	396	9	2.1
102	399	7	2.1
304	13	10	2.1
120	172	2	2.1
143	316	16	2.1
150	248	5	2.1
143	33	9	2.1
150	173	1	2.1
304	283	17	2.1
188	399	10	2.1
304	131	16	2.1
221	221	3	2.1
159	457	232	2.1
185	220	1	2.1
143	240	16	2.1
185	88	3	2.1
304	443	5	2.1
278	283	1	2.1
268	268	1	2.1
310	344	1	2.1
266	304	1	2.1
266	319	4	2.1
283	30	1	2.1
302	143	2	2.1
373	288	6	2.1
330	330	1	2.1
373	122	23	2.1
319	185	3	2.1
427	427	43	2.1
399	195	10	2.1
316	143	17	2.1
430	304	4	2.1
457	68	17	2.1
443	159	2	2.1
10	159	6	2.1
68	444	2	2.1
25	304	10	2.1
71	71	2	2.1
35	143	125	2.1
104	399	1	2.1
304	14	1	2.1
122	122	11	2.1
143	319	22	2.1
150	304	11	2.1
143	42	15	2.1
178	25	1	2.1
304	288	3	2.1
194	304	2	2.1
304	133	16	2.1
221	268	3	2.1
205	304	3	2.1
185	248	6	2.1
143	248	5	2.1
185	143	7	2.1
304	444	7	2.1
278	304	6	2.1
275	143	62	2.1
310	395	64	2.1
266	399	2	2.1
283	143	1	2.1
373	293	3	2.1
330	373	1	2.1
373	132	52	2.1
319	266	16	2.1
434	283	1	2.1
316	220	14	2.1
399	226	1	2.1
333	457	2	2.1
430	369	2	2.1
451	457	3	2.1
30	30	1	2.1
68	449	2	2.1
25	309	1	2.1
89	89	102	2.1
65	65	1	2.1
112	276	14	2.1
304	24	1	2.1
126	196	1	2.1
143	361	1	2.1
150	309	1	2.1
143	68	91	2.1
178	28	1	2.1
304	293	1	2.1
195	304	5	2.1
304	136	2	2.1
221	275	9	2.1
212	304	253	2.1
185	304	12	2.1
143	267	2	2.1
185	150	1	2.1
282	282	3	2.1
275	221	12	2.1
310	451	1	2.1
310	457	80	2.1
288	288	2	2.1
293	159	1	2.1
373	295	1	2.1
333	304	12	2.1
373	133	26	2.1
333	68	4	2.1
434	304	2	2.1
316	304	1	2.1
399	266	2	2.1
352	10	1	2.1
430	430	7	2.1
10	304	47	2.1
143	45	7	2.1
33	33	7	2.1
68	457	17	2.1
25	319	11	2.1
89	159	5	2.1
116	116	4	2.1
112	304	16	2.1
304	25	8	2.1
134	159	1	2.1
143	367	70	2.1
150	319	14	2.1
143	84	1	2.1
178	48	1	2.1
304	299	2	2.1
195	373	10	2.1
304	141	6	2.1
226	132	24	2.1
212	367	3	2.1
185	309	1	2.1
143	268	11	2.1
185	166	1	2.1
282	373	9	2.1
275	268	7	2.1
367	288	5	2.1
288	367	1	2.1
304	458	9	2.1
373	308	6	2.1
339	278	1	2.1
373	134	3	2.1
333	143	8	2.1
434	434	2	2.1
316	316	4	2.1
399	272	4	2.1
352	68	1	2.1
457	369	1	2.1
442	373	1	2.1
10	373	3	2.1
143	116	12	2.1
33	143	15	2.1
71	399	2	2.1
25	361	1	2.1
108	108	13	2.1
131	131	4	2.1
120	304	3	2.1
304	30	5	2.1
143	458	4	2.1
143	380	11	2.1
150	361	1	2.1
143	89	69	2.1
178	88	3	2.1
304	310	522	2.1
221	304	6	2.1
304	148	57	2.1
226	226	36	2.1
212	373	91	2.1
185	319	17	2.1
159	10	12	2.1
185	173	2	2.1
284	284	67	2.1
275	275	28	2.1
367	367	166	2.1
295	373	3	2.1
310	159	24	2.1
373	309	1	2.1
339	283	1	2.1
373	150	1	2.1
339	30	1	2.1
451	276	5	2.1
316	399	3	2.1
451	118	10	2.1
352	143	6	2.1
457	373	125	2.1
443	304	2	2.1
10	399	46	2.1
143	148	28	2.1
33	159	30	2.1
89	373	69	2.1
25	399	1	2.1
132	132	41	2.1
141	141	1	2.1
122	373	32	2.1
304	33	16	2.1
164	164	272	2.1
143	384	3	2.1
150	399	1	2.1
143	108	9	2.1
178	143	7	2.1
304	316	9	2.1
226	373	49	2.1
304	150	7	2.1
231	231	1	2.1
212	399	37	2.1
185	361	1	2.1
159	14	9	2.1
185	178	1	2.1
287	287	28	2.1
276	10	1	2.1
367	399	12	2.1
310	243	2	2.1
373	310	330	2.1
339	304	6	2.1
373	164	132	2.1
339	143	1	2.1
451	295	7	2.1
352	276	1	2.1
451	143	12	2.1
457	430	4	2.1
443	373	4	2.1
10	449	1	2.1
45	45	4	2.1
108	391	1	2.1
65	391	1	2.1
132	141	1	2.1
148	143	8	2.1
304	216	178	2.1
134	304	1	2.1
304	45	15	2.1
172	172	2	2.1
143	395	8	2.1
178	217	2	2.1
143	112	35	2.1
178	150	1	2.1
304	317	2	2.1
226	399	8	2.1
304	168	2	2.1
236	120	1	2.1
212	457	60	2.1
185	399	1	2.1
159	33	78	2.1
185	185	1	2.1
287	304	87	2.1
373	10	20	2.1
276	112	14	2.1
276	143	46	2.1
391	304	764	2.1
373	451	10	2.1
373	328	16	2.1
364	364	3	2.1
373	166	1	2.1
365	98	6	2.1
451	304	49	2.1
352	304	2	2.1
451	159	1	2.1
13	13	46	2.1
14	14	1	2.1
30	304	1	2.1
45	143	14	2.1
108	399	8	2.1
116	240	5	2.1
132	226	30	2.1
148	148	16	2.1
304	219	7	2.1
134	373	2	2.1
304	54	6	2.1
173	173	769	2.1
143	410	50	2.1
178	220	1	2.1
143	132	2	2.1
178	166	1	2.1
304	319	279	2.1
231	399	1	2.1
304	172	8	2.1
236	172	2	2.1
272	399	6	2.1
219	219	2	2.1
159	34	4	2.1
240	116	7	2.1
287	369	3	2.1
373	13	94	2.1
373	14	5	2.1
278	30	1	2.1
391	335	1	2.1
391	258	7	2.1
373	352	6	2.1
