b.source_id	c.target_id	weight	release
373	443	39159	2.1
403	304	1005	2
403	399	505	2
403	403	5	2
424	304	811185	2
424	424	435800	2
457	369	6041	2.1
457	373	22541443	2.1
457	430	6587	2.1
13	13	270849	2.1
34	34	1941	2.1
34	159	39	2.1
68	10	631440	2.1
68	68	10994930	2.1
68	132	303289	2.1
68	143	19055018	2.1
68	159	140073	2.1
68	207	4599247	2.1
68	276	39584	2.1
71	71	0	2.1
89	89	2481335	2.1
89	159	158073	2.1
108	108	114787	2.1
132	132	830192	2.1
132	141	31804	2.1
132	226	631487	2.1
133	133	3808	2.1
133	143	3337	2.1
143	449	3224160	2.1
143	1	100540	2.1
143	10	3146201	2.1
143	24	693466	2.1
143	25	1433	2.1
143	30	4073	2.1
143	33	209121	2.1
143	42	893312	2.1
143	68	3079429	2.1
143	84	26	2.1
143	89	4547915	2.1
143	108	123069	2.1
143	112	2761830	2.1
143	132	303346	2.1
143	133	257676	2.1
143	141	1168	2.1
143	149	181673	2.1
143	164	3857463	2.1
143	188	227119	2.1
143	195	76611	2.1
143	205	9115	2.1
143	221	39844	2.1
143	240	1837558	2.1
143	248	70107	2.1
143	267	1385	2.1
143	268	740803	2.1
159	10	266822	2.1
159	14	335485	2.1
159	33	3589215	2.1
159	34	95314	2.1
159	159	348391521	2.1
159	243	7981241	2.1
205	143	67	2.1
205	205	89	2.1
212	143	13092503	2.1
212	203	3720724	2.1
212	212	13502955	2.1
238	238	35609	2.1
272	272	18347	2.1
283	30	7629	2.1
283	143	3555	2.1
293	159	0	2.1
304	458	331410	2.1
310	159	48309	2.1
310	243	888335	2.1
373	451	850902	2.1
391	258	123891	2.1
399	10	2164220	2.1
399	30	20761	2.1
399	71	172935	2.1
399	84	6063	2.1
399	102	230402	2.1
399	104	6788	2.1
399	122	355712	2.1
399	132	4710915	2.1
399	195	106391	2.1
399	226	7217	2.1
399	266	13994	2.1
399	272	36456	2.1
451	118	619643	2.1
451	143	589623	2.1
451	159	2522	2.1
451	203	264088	2.1
451	212	317070	2.1
451	258	185913	2.1
13	373	281122	2.1
34	373	238	2.1
34	399	0	2.1
68	304	37825507	2.1
68	333	59000	2.1
68	352	38880	2.1
68	444	855115	2.1
68	449	568658	2.1
68	457	3017014	2.1
71	399	0	2.1
89	373	2326404	2.1
108	391	0	2.1
108	399	69619	2.1
132	304	21484091	2.1
132	373	1309572	2.1
132	399	513080	2.1
133	304	194168	2.1
133	373	3329	2.1
143	282	548	2.1
143	284	36948	2.1
143	293	84281	2.1
143	316	1429808	2.1
143	319	343999	2.1
143	361	135367	2.1
143	367	991647	2.1
143	380	4918674	2.1
143	384	3594	2.1
143	395	3480684	2.1
143	410	4911430	2.1
143	444	5200807	2.1
143	451	91709	2.1
159	293	472560	2.1
