"","node","closeness","n.closeness"
"94",5777,1.98372573455665e-06,4.4279592289211e-09
"95",5820,2.06944875774958e-06,4.61930526283389e-09
"96",5876,2.61098407911424e-06,5.82808946230857e-09
"97",5981,1.97945634559459e-06,4.41842934284507e-09
"98",5999,9.0398945257724e-07,2.01783359950277e-09
"99",6018,2.21477266453865e-06,4.9436889833452e-09
"100",6019,8.15899897703921e-07,1.82120512880339e-09
"101",6087,1.97535675258518e-06,4.40927846559191e-09
"102",6088,2.08082503030527e-06,4.64469872835998e-09
"103",6114,2.00210391553831e-06,4.46898195432659e-09
"104",6137,1.65709036321684e-06,3.69886241789472e-09
"105",6148,1.67763543977522e-06,3.74472196378398e-09
"106",6181,1.92374388200862e-06,4.29407116519782e-09
"107",6183,1.57770480725764e-06,3.52166251620008e-09
"108",6202,2.05814569619139e-06,4.59407521471293e-09
"109",6208,1.93878398480377e-06,4.3276428232227e-09
"110",6211,2.46450778576766e-06,5.50113345037423e-09
"111",6219,1.46604210474395e-06,3.27241541237489e-09
"112",6235,1.97326135847294e-06,4.40460124659139e-09
"113",6254,1.84854341287683e-06,4.12621297517149e-09
"114",6268,2.22381446447137e-06,4.96387157248074e-09
"115",6310,1.64861193072014e-06,3.67993734535746e-09
"116",6369,2.34721753899818e-06,5.23932486383523e-09
"117",6414,2.64346033183652e-06,5.90058109784937e-09
"118",6415,2.34138174811953e-06,5.22629854490967e-09
"119",6463,2.63628433480945e-06,5.88456324734253e-09
"120",6470,2.18181843403425e-06,4.87013043311217e-09
"121",6490,2.81320255606324e-06,6.27946999121258e-09
"122",6495,2.05334224500287e-06,4.58335322545285e-09
"123",6506,1.62198954665361e-06,3.62051238092323e-09
"124",6507,2.06799448487899e-06,4.61605911803347e-09
"125",6523,2.21549075430764e-06,4.94529186229385e-09
"126",6531,1.73931172566184e-06,3.8823922447809e-09
"127",6542,2.2600421096892e-06,5.04473685198483e-09
"128",6555,1.79145963257226e-06,3.99879382270594e-09
"129",6562,1.63447214662016e-06,3.64837532727714e-09
"130",6563,1.78865219922442e-06,3.99252723041166e-09
"131",6568,2.05648674147479e-06,4.59037219079193e-09
"132",6571,2.03710143396551e-06,4.54710141510158e-09
"133",6613,1.69191030852712e-06,3.77658551010519e-09
"134",6643,2.59146069953835e-06,5.78451049004096e-09
"135",6665,2.24917811889735e-06,5.02048687253874e-09
"136",6668,1.86192002107686e-06,4.156071475618e-09
"137",6673,1.97524174667763e-06,4.40902175597685e-09
"138",6703,2.59616927840212e-06,5.79502071071902e-09
"139",6705,1.8887981659294e-06,4.21606733466385e-09
"140",6733,1.89456418903864e-06,4.22893792196126e-09
"141",6743,2.57126364020193e-06,5.73942776830788e-09
"142",6787,2.5560973757596e-06,5.70557449946338e-09
"143",6809,1.73618430857699e-06,3.87541140307364e-09
"144",6814,2.03909940444485e-06,4.55156117063583e-09
"145",6821,2.19541223129105e-06,4.90047373056039e-09
"146",6825,9.49188693124396e-07,2.11872476143838e-09
"147",6826,1.71324421714955e-06,3.82420584185168e-09
"148",6828,2.60455654596419e-06,5.81374229009864e-09
"149",6838,1.86542550072095e-06,4.1638962069664e-09
"150",6851,2.91804758880573e-06,6.51349908215564e-09
"151",6868,2.65721669951704e-06,5.93128727570767e-09
"152",6869,1.66469890128657e-06,3.71584576180038e-09
"153",6870,2.57921987635535e-06,5.75718722400747e-09
"154",6871,1.66669742410356e-06,3.72030675023117e-09
"155",6872,1.75086660880178e-06,3.90818439464683e-09
"156",6879,1.28231032396564e-06,2.86229983028045e-09
"157",6894,1.67101571427323e-06,3.72994579078846e-09
"158",6912,1.79871356189271e-06,4.0149856292248e-09
"159",6913,1.93402771291755e-06,4.31702614490525e-09
"160",6924,2.75858623585633e-06,6.15755856217931e-09
"161",6934,2.47804025041725e-06,5.53133984468136e-09
"162",6983,2.06123474221705e-06,4.60097040673448e-09
"163",6986,1.84829350286571e-06,4.12565514032524e-09
"164",6987,2.56018109911842e-06,5.71468995338933e-09
"165",7001,2.65954775826145e-06,5.93649053183359e-09
