"","i","j","w"
"75",4086,5393,2.78243327140808
"76",4086,17167,0.911290168762207
"77",4094,7462,0.868744492530823
"78",4096,4669,6.32455539703369
"79",4096,5497,0.672292649745941
"80",4096,6619,0.672926604747772
"81",4102,9579,0.5
"82",4109,4077,1.64214169979095
"83",4109,4086,1.06399035453796
"84",4109,4375,1.98353886604309
"85",4109,4527,2.69679951667786
"86",4109,4530,1.67053818702698
"87",4109,4706,0.395284712314606
"88",4109,5012,0.692128539085388
"89",4109,5159,1.25656175613403
"90",4109,5474,4.14039325714111
"91",4109,5502,6.32455539703369
"92",4109,6129,2.51312351226807
"93",4109,6404,1.8650096654892
"94",4109,6582,2.54685807228088
"95",4109,6803,2.2360680103302
"96",4109,7141,1.95180010795593
"97",4109,7683,1.19522857666016
"98",4109,7886,2.16930460929871
"99",4109,8180,0.898933172225952
"100",4109,8622,1.90692520141602
"101",4109,10680,5.85540056228638
"102",4109,16033,2.1081850528717
"103",4112,5336,6.92820310592651
"104",4113,4077,5.85540056228638
"105",4113,6167,2.03419041633606
"106",4113,7640,6.92820310592651
"107",4113,13717,10.9544515609741
"108",4118,9241,0.74535596370697
"109",4121,4387,1.43222975730896
"110",4122,8559,1.34839975833893
"111",4125,4007,4.67099380493164
"112",4125,4387,2.21313333511353
"113",4125,6394,2.82842707633972
"114",4125,7510,1.68033611774445
"115",4129,8832,4
"116",4130,7798,5.47722578048706
"117",4141,4583,1.32842230796814
"118",4148,6214,1.11513376235962
"119",4156,3990,2.01687788963318
"120",4156,3994,2.69679951667786
"121",4156,5484,0.289530903100967
"122",4156,6469,5.47722578048706
"123",4156,7072,1.00208985805511
"124",4156,10687,0.88852334022522
"125",4156,10717,1.03279554843903
"126",4156,13682,1.80090069770813
"127",4156,14924,2.51312351226807
"128",4156,17793,2.03419041633606
"129",4157,4250,2.6186146736145
"130",4157,6983,4.89897966384888
"131",4157,7801,1.62399590015411
"132",4160,4589,1.87867283821106
"133",4160,7750,3.03821802139282
"134",4160,9170,0.55363655090332
"135",4160,16057,5.47722578048706
"136",4161,5764,2.51312351226807
"137",4161,12948,0.130042046308517
"138",4162,6411,3.16227769851685
"139",4162,6536,1.68033611774445
"140",4167,14793,8.9442720413208
"141",4170,5130,3.65148377418518
"142",4182,4109,1.4201432466507
"143",4182,7022,0.67806351184845
"144",4182,14131,2.6186146736145
"145",4182,17099,15.4919338226318
"146",4185,5443,0.88852334022522
"147",4185,17740,1.92153787612915
"148",4190,5050,2.2360680103302
"149",4199,7356,0.207650989294052
"150",4199,7459,2.39045715332031
"151",4201,6847,0.659978568553925
"152",4213,7739,5.47722578048706
"153",4216,4027,0.84265011548996
"154",4216,4874,5.85540056228638
"155",4216,5173,2.12798070907593
"156",4216,5336,3.23029136657715
"157",4216,5934,2.25973081588745
"158",4216,6060,2.30940103530884
"159",4216,6366,0.962621927261353
"160",4216,7044,2.33549690246582
"161",4216,7289,0.946320474147797
"162",4216,8467,5.85540056228638
"163",4216,9989,1.15150630474091
"164",4217,5169,5.85540056228638
"165",4217,6320,0.472939670085907
"166",4230,8387,2.54685807228088
"167",4234,4157,6.32455539703369
"168",4236,4077,5.16397762298584
"169",4236,4435,3.55409336090088
"170",4236,4775,3.23029136657715
"171",4236,5012,2.12798070907593
"172",4236,8384,3.16227769851685
"173",4250,4527,1.8650096654892
"174",4259,4412,0.0266507044434547
"175",4259,5026,0.18382953107357
"176",4259,12534,0.473160237073898
"177",4260,4199,1.4446302652359
"178",4260,9240,0.318828850984573
"179",4269,15946,0.198810681700706
"180",4276,9726,0.104054756462574
"181",4283,7332,0.688700437545776
"182",4283,7552,0.390112400054932
"183",4289,16954,0.22277295589447
"184",4290,7151,4.2966890335083
"185",4293,5240,1.39686059951782
"186",4306,5977,0.944559872150421
"187",4307,4976,2.73861289024353
"188",4310,6355,0.563809156417847
"189",4310,10773,0.84895271062851
"190",4313,7711,6.92820310592651
"191",4320,6643,0.735214650630951
"192",4320,7787,0.354570537805557
"193",4320,15373,0.474935680627823
"194",4325,4486,1.51910901069641
"195",4325,5869,2.48069477081299
"196",4330,4036,2.69679951667786
"197",4330,6825,0.228515475988388
"198",4330,9552,4.2966890335083
"199",4330,9679,2.36249780654907
"200",4332,6507,0.680676460266113
"201",4336,4028,6.92820310592651
"202",4336,4408,0.36698791384697
"203",4336,6885,1.30005419254303
"204",4338,4906,2
"205",4340,12847,0.386694580316544
"206",4344,5336,0.735214650630951
"207",4354,17480,0.914459884166718
"208",4355,6383,0.56911039352417
"209",4356,9242,1.41421353816986
"210",4358,5554,6.92820310592651
"211",4366,6011,3.55409336090088
"212",4370,5303,2.28416085243225
"213",4370,11937,2.03419041633606
"214",4374,15079,1.06904494762421
"215",4375,8171,1.98353886604309
"216",4375,9173,0.609521985054016
"217",4375,9348,0.533570528030396
"218",4375,12433,10.9544515609741
"219",4381,12522,0.288225114345551
"220",4386,6268,0.237439945340157
"221",4387,5745,1.06904494762421
"222",4387,6813,3.75734567642212
"223",4387,10346,1.49766170978546
"224",4389,12681,2.25973081588745
"225",4396,4408,0.269557446241379
"226",4399,4075,2.69679951667786
"227",4400,15447,1.03741657733917
"228",4401,4043,1.90692520141602
"229",4408,4336,0.408958911895752
"230",4408,6180,0.591484785079956
"231",4412,4748,2.33549690246582
"232",4412,5345,0.93419873714447
"233",4412,5729,3.55409336090088
"234",4412,8411,0.344180196523666
"235",4415,6721,5.47722578048706
"236",4416,4551,2.48069477081299
"237",4432,16637,15.4919338226318
"238",4435,7783,4.67099380493164
"239",4446,4049,0.476055562496185
"240",4446,4125,0.603022694587708
"241",4446,5164,1.93649172782898
"242",4446,8684,2.78243327140808
"243",4446,9176,2.48069477081299
"244",4446,13679,3.46410155296326
"245",4451,7459,1.4446302652359
"246",4452,10674,3.55409336090088
"247",4460,7641,0.723101496696472
"248",4467,12422,0.662387251853943
"249",4468,15415,0.747087359428406
"250",4474,7684,2.65684461593628
"251",4474,16312,2.78243327140808
"252",4480,4496,8.9442720413208
"253",4486,4190,0.84265011548996
"254",4490,4887,1.06650865077972
"255",4496,12807,2.44948983192444
"256",4497,7110,4.14039325714111
"257",4507,11035,0.962621927261353
"258",4508,5360,8.9442720413208
"259",4512,6183,2.41943359375
"260",4527,4798,2.44948983192444
"261",4527,6582,1.66090965270996
"262",4527,6786,5.85540056228638
"263",4527,7292,0.973969519138336
"264",4527,10625,1.74297869205475
"265",4527,16080,1.61514568328857
"266",4527,17973,4.14039325714111
"267",4530,6655,2.92770028114319
"268",4545,4642,5.16397762298584
"269",4551,5476,1.45095252990723
"270",4556,4109,0.73356431722641
"271",4558,14891,4.67099380493164
"272",4560,4096,0.692128539085388
"273",4560,4325,15.4919338226318
"274",4560,4632,0.771708190441132
"275",4560,5345,0.905048429965973
"276",4560,6132,0.492864042520523
