"","i","j","w"
"290",5132,4874,0.209733805095888
"291",5132,4999,0.389249471419037
"292",5159,5179,1.3912166869327
"293",5159,5241,2.73861278752583
"294",5159,5438,1.93649167310371
"295",5178,4418,2.23606797749979
"296",5178,4685,0.357675507967767
"297",5178,6394,0.530744891638158
"298",5178,7320,1.08465228898482
"299",5178,9081,1.01709525512609
"300",5178,14632,0.378415234894157
"301",5179,4027,1.58113883008419
"302",5179,4080,0.825722823349337
"303",5179,4633,0.664211163712264
"304",5179,4871,0.4054424262457
"305",5179,4945,1.18124884634864
"306",5179,6096,3.46410161513775
"307",5179,7343,2.23606797749979
"308",5180,6828,0.564932682715383
"309",5181,4615,2.58198889734251
"310",5184,5485,0.99176940717084
"311",5184,14611,0.803219328701694
"312",5210,4304,1.14208048140225
"313",5210,6179,2.14834462202878
"314",5216,9531,1.02597835162346
"315",5234,4633,1.65144564760697
"316",5234,5179,1.22474487139159
"317",5240,4080,0.0398778886101057
"318",5240,6000,0.407118970326857
"319",5240,11104,0.29131705923272
"320",5241,5029,5.47722557505166
"321",5279,6465,1.3912166869327
"322",5291,4080,0.647750275183268
"323",5308,4418,7.74596669241483
"324",5309,5934,3.16227766016838
"325",5313,4323,1.27342907968995
"326",5313,6465,0.99176940717084
"327",5317,10773,0.331193618597943
"328",5318,4127,1.58113883008419
"329",5318,4945,0.90659682770237
"330",5320,10940,0.247309682382231
"331",5374,4580,0.391730372833152
"332",5374,12677,1.73205080756888
"333",5379,11410,1.24034734570603
"334",5389,4096,1.77704663304034
"335",5389,7154,0.546358364079841
"336",5389,7302,0.340338236171019
"337",5389,7481,0.159583498520367
"338",5418,8009,3.16227766016838
"339",5438,4293,2
"340",5438,4467,0.778498944122598
"341",5438,5210,2
"342",5438,5689,1.25656172470754
"343",5438,6902,2.92770021877241
"344",5438,7011,7.74596669241483
"345",5438,7702,0.482242821615833
"346",5438,10450,1.87867287306758
"347",5438,10679,0.755928945734981
"348",5438,18539,0.676768252062698
"349",5441,7718,0.317820863065973
"350",5441,9645,0.871489340152821
"351",5445,7654,2.92770021877241
"352",5465,7630,0.150613113638886
"353",5485,5780,0.595843591053894
"354",5490,4027,1.29099444847761
"355",5490,4266,1.11803398874989
"356",5490,6020,3.87298334620742
"357",5490,10437,7.74596669241483
"358",5518,4283,0.582222509011804
"359",5546,5705,1.10656666993001
"360",5546,5768,0.73192505422345
"361",5546,10530,0.595843591053894
"362",5560,9117,0.421325043167386
"363",5562,11936,1.11803398874989
"364",5566,4533,0.590624422962681
"365",5566,6470,0.154487371652184
"366",5574,11558,0.072306998278175
"367",5605,4293,0.741929049842369
"368",5609,4320,0.22454435641984
"369",5629,12138,0.5
"370",5650,4418,0.645497223851505
"371",5655,13000,0.553283334287235
"372",5661,16234,0.232705014986785
"373",5689,6111,4.47213595499958
"374",5705,5374,0.588914942075679
"375",5705,9821,0.701286872827376
"376",5705,12137,1.3284223281773
"377",5705,12247,0.725476249783547
"378",5705,13861,0.465410032122214
"379",5710,5780,0.850230301741828
"380",5712,4293,1.58113883008419
"381",5712,8878,1.18124884634864
"382",5755,7654,1.12986536543077
"383",5755,15413,0.437130188845383
"384",5768,7343,1.3912166869327
"385",5780,6402,0.276113891356447
"386",5780,16107,0.380234549981982
"387",5796,4086,0.313625022917496
"388",5802,11294,0.266627168533141
"389",5833,11104,4.47213595499958
"390",5845,16344,0.36155076268762
