"","node","betweenness"
"554",8010,16563
"555",8020,0
"556",8038,6247
"557",8043,3462
"558",8048,11943
"559",8077,1150
"560",8099,1156
"561",8103,0
"562",8108,2297
"563",8110,1149
"564",8118,15316
"565",8133,25701
"566",8188,0
"567",8203,15329
"568",8229,0
"569",8231,14935
"570",8242,3444
"571",8264,3446
"572",8269,3446
"573",8271,1308
"574",8273,3662
"575",8274,1156
"576",8277,6110
"577",8288,6108
"578",8294,2298
"579",8295,2299
"580",8306,4620
"581",8309,0
"582",8336,1150
"583",8353,6670
"584",8362,21767
"585",8368,2214
"586",8370,9938
"587",8372,6336
"588",8374,1149
"589",8376,5241
"590",8380,11356
"591",8381,12969
"592",8391,5386
"593",8404,0
"594",8409,15506
"595",8410,6883
"596",8411,8016
"597",8413,8022
"598",8414,6879
"599",8439,8027
"600",8444,9572
"601",8460,21768
"602",8481,25713
"603",8482,13879
"604",8484,6692
"605",8485,6882
"606",8487,18730
"607",8489,1309
"608",8491,4278
"609",8492,4159
"610",8493,14586
"611",8495,1149
"612",8497,8124
"613",8499,1149
"614",8500,0
"615",8501,8029
"616",8502,3664
"617",8504,3445
"618",8505,1150
"619",8509,15505
"620",8510,22599
"621",8512,6670
"622",8514,2298
"623",8517,6111
"624",8518,28060
"625",8519,8028
"626",8523,1198
"627",8529,18304
"628",8531,1149
"629",8532,8671
"630",8534,1170
"631",8535,8165
"632",8536,0
"633",8537,1150
"634",8549,3447
"635",8557,1150
"636",8558,3663
"637",8560,6880
"638",8562,8026
"639",8563,8123
"640",8569,8024
"641",8580,2519
"642",8585,0
"643",8586,6951
"644",8603,6885
"645",8605,2298
"646",8606,82262
"647",8613,3897
"648",8614,6691
"649",8627,43974
"650",8628,5737
"651",8630,3661
"652",8655,26449
"653",8660,1150
"654",8663,2297
"655",8664,3445
"656",8665,1672
"657",8668,3896
"658",8671,3918
"659",8677,19921
"660",8680,17805
"661",8682,1149
"662",8693,5389
"663",8694,15510
"664",8697,0
"665",8700,1149
"666",8701,3446
"667",8709,8023
"668",8719,6884
"669",8720,18429
"670",8721,1153
"671",8725,7439
"672",8726,2238
"673",8727,10325
"674",8733,1150
"675",8740,3440
"676",8760,2738
"677",8771,5
"678",8773,0
"679",8798,9493
"680",8824,8152
"681",8835,225
"682",8864,689
"683",8866,2590
"684",8886,9142
"685",8913,2299
"686",8935,1755
"687",8974,5346
"688",8990,4579
"689",8991,23143
"690",9002,1150
"691",9019,3236
"692",9025,2298
"693",9037,42384
"694",9042,3445
"695",9057,5617
"696",9086,0
"697",9091,2004
"698",9113,19403
"699",9119,6819
"700",9126,9035
"701",9135,0
"702",9154,2982
"703",9155,2297
"704",9156,8900
"705",9158,10314
"706",9163,2311
"707",9175,1150
"708",9182,24526
"709",9183,1149
"710",9207,1620
"711",9236,3618
"712",9238,5374
"713",9245,1149
"714",9246,3445
"715",9248,11276
"716",9262,1149
"717",9263,0
"718",9271,5136
"719",9272,7042
"720",9273,0
"721",9275,1152
"722",9285,12398
