"","node","betweenness"
"584",8143,3383
"585",8182,3654
"586",8185,4463
"587",8187,42491
"588",8207,2247
"589",8221,6777
"590",8243,3384
"591",8307,5635
"592",8319,34124
"593",8336,8096
"594",8339,4519
"595",8356,3325
"596",8358,3790
"597",8402,0
"598",8406,2770
"599",8444,14
"600",8454,2779
"601",8467,5443
"602",8520,11013
"603",8528,10359
"604",8544,18424
"605",8555,1129
"606",8559,0
"607",8568,10163
"608",8572,0
"609",8586,9053
"610",8588,2266
"611",8590,5671
"612",8594,4528
"613",8595,5034
"614",8601,1140
"615",8602,5671
"616",8604,9063
"617",8611,3390
"618",8618,19700
"619",8620,0
"620",8624,5662
"621",8640,26791
"622",8668,4587
"623",8675,11974
"624",8724,4537
"625",8762,2458
"626",8780,4528
"627",8794,4528
"628",8807,5857
"629",8816,4537
"630",8817,3411
"631",8833,0
"632",8850,23494
"633",8870,0
"634",8879,7867
"635",8885,1250
"636",8891,4537
"637",8894,5680
"638",8905,4188
"639",8907,7917
"640",8926,1129
"641",8933,6768
"642",8938,24809
"643",8948,9978
"644",8951,13187
"645",8955,17220
"646",8981,1070
"647",8992,11172
"648",8994,6257
"649",8995,4537
"650",8996,8622
"651",9000,7852
"652",9005,4510
"653",9011,1138
"654",9019,2266
"655",9032,2275
"656",9035,630
"657",9075,0
"658",9094,0
"659",9115,0
"660",9118,14331
"661",9150,20819
"662",9165,2045
"663",9177,7101
"664",9189,0
"665",9193,12058
"666",9209,1346
"667",9224,5653
"668",9255,13405
"669",9256,2275
"670",9260,77
"671",9262,4503
"672",9276,17281
"673",9309,14780
"674",9330,2266
"675",9350,1147
"676",9359,0
"677",9365,2265
"678",9387,3672
"679",9406,3977
"680",9431,5921
"681",9434,1131
"682",9436,4197
"683",9444,6269
"684",9447,7927
"685",9463,3927
"686",9466,1129
"687",9468,5671
"688",9487,1138
"689",9503,3205
"690",9508,4510
"691",9556,3393
"692",9608,19325
"693",9611,0
"694",9657,4519
"695",9674,12067
"696",9679,0
"697",9681,0
"698",9687,2266
"699",9713,14365
"700",9716,6795
"701",9734,2404
"702",9735,5112
"703",9736,2767
"704",9747,6061
"705",9767,8664
"706",9781,16191
"707",9788,41
"708",9793,1456
"709",9798,1138
"710",9807,21866
"711",9823,212
"712",9836,7918
"713",9855,4521
"714",9865,0
"715",9874,0
"716",9877,3510
"717",9910,6260
"718",9937,1369
"719",9952,4546
"720",9976,6813
"721",9985,10128
"722",9988,1138
"723",10004,1594
"724",10008,3596
"725",10021,6795
"726",10042,4519
"727",10102,4537
"728",10106,0
"729",10109,4418
"730",10110,15678
"731",10133,14020
"732",10140,0
"733",10168,2258
"734",10183,2275
"735",10192,0
"736",10219,0
"737",10220,6598
"738",10232,3405
"739",10252,0
"740",10275,4538
"741",10303,1129
"742",10307,30066
"743",10319,6804
"744",10322,7894
"745",10328,1129
"746",10378,4000
"747",10403,20818
"748",10404,20375
"749",10423,14390
"750",10426,17026
"751",10431,22345
"752",10432,2275
"753",10446,7092
"754",10479,2349
"755",10489,1129
"756",10554,14058
"757",10558,28698
"758",10559,9476
"759",10563,0
"760",10564,8105
"761",10569,11022
"762",10576,7927
"763",10582,6451
"764",10585,2253
"765",10600,3420
"766",10610,14717
"767",10624,4510
"768",10625,3390
"769",10654,9031
"770",10664,1845
"771",10676,0
"772",10702,14553
"773",10704,28059
"774",10705,6917
"775",10710,14570
"776",10711,4586
"777",10714,0
"778",10720,1138
"779",10721,22305
"780",10743,2266
"781",10745,4510
"782",10755,0
"783",10760,5635
"784",10762,14699
"785",10764,1131
"786",10778,20792
"787",10782,12579
"788",10793,2269
"789",10797,11998
"790",10800,1140
"791",10819,2266
"792",10825,3411
"793",10826,1129
"794",10827,5665
"795",10836,0
"796",10838,14673
"797",10842,3583
"798",10856,2257
"799",10870,3402
"800",10883,3402
"801",10932,14031
"802",10934,15324
"803",10951,6786
"804",10952,4596
"805",10955,6433
"806",10956,1233
"807",11029,3381
"808",11030,15256
"809",11084,4510
"810",11106,2272
"811",11120,1024
"812",11124,18013
"813",11154,11296
"814",11165,1129
"815",11176,4546
"816",11203,0
"817",11217,3781
"818",11257,1386
"819",11264,3466
"820",11270,0
"821",11280,2266
"822",11287,6926
"823",11298,4546
"824",11299,6338
"825",11300,6287
"826",11337,3405
"827",11344,14322
"828",11348,6786
"829",11354,13637
"830",11356,1211
"831",11359,2776
"832",11369,0
"833",11388,14417
"834",11404,6943
"835",11414,4882
"836",11424,9049
"837",11433,0
"838",11471,8171
"839",11472,5139
"840",11483,2266
"841",11484,1932
"842",11491,3604
"843",11519,0
"844",11529,0
"845",11540,11269
"846",11574,10172
"847",11582,3399
"848",11597,2266
"849",11648,7945
"850",11651,18753
"851",11655,11353
"852",11658,10119
"853",11662,6795
"854",11687,0
"855",11699,2257
"856",11708,5644
"857",11717,4510
"858",11725,0
"859",11731,0
"860",11742,10926
"861",11756,4519
"862",11769,2701
"863",11793,1894
