"","node","degree","output"
"86",4485,2,0.795066538848048
"87",4503,1,0.960768922790491
"88",4521,1,0.816496580519478
"89",4533,7,7.47330605802536
"90",4542,3,1.92181950834886
"91",4546,1,3.87298334620742
"92",4550,1,0.439233474361871
"93",4555,1,0.239273709379029
"94",4560,31,39.6338506558587
"95",4563,8,8.36838010823559
"96",4564,1,0.701286872827376
"97",4570,7,3.98352613258895
"98",4571,1,0.612372435695794
"99",4573,2,0.427303458143636
"100",4586,1,1.15470053823491
"101",4590,1,0.44871180171687
"102",4597,2,1.37991363832521
"103",4605,1,1.30930734130685
"104",4608,1,0.306665757788508
"105",4616,1,0.975900072753353
"106",4627,1,1.15470053823491
"107",4630,2,0.377330516024975
"108",4632,10,6.71312087706317
"109",4641,2,6.54233263285413
"110",4642,5,5.06845513219792
"111",4646,2,5.50968911611492
"112",4652,1,0.716114873466541
"113",4665,1,0.332105581103359
"114",4666,1,1.3912166869327
"115",4669,4,7.52851840185842
"116",4671,1,0.471404520555329
"117",4674,2,1.35708705510341
"118",4678,1,0.738548945568268
"119",4681,1,7.74596669241483
"120",4688,1,0.148006097847352
"121",4690,2,0.858097218142385
"122",4694,3,1.2184262790075
"123",4695,1,3.87298334620742
"124",4705,2,3.05161170583433
"125",4708,1,0.919277119262739
"126",4711,1,3.46410161513775
"127",4717,1,3.87298334620742
"128",4731,2,1.13932633519887
"129",4737,2,3.3863630627091
"130",4740,1,1.65144564760697
"131",4748,4,3.9714163543208
"132",4749,6,4.05903486376031
"133",4773,1,0.0235092322290627
"134",4802,1,1.73205080756888
"135",4810,2,1.87567607689966
"136",4827,1,3.46410161513775
"137",4834,1,0.882734829379695
"138",4835,1,1.49071198492532
"139",4837,1,3.46410161513775
"140",4850,2,4.89896169783088
"141",4853,1,0.265684465108519
"142",4856,1,0.550481882535656
"143",4859,1,1.65144564760697
"144",4862,1,0.201551194489142
"145",4871,2,8.80005924575159
"146",4872,1,0.253863804036731
"147",4877,2,0.488062891680283
"148",4882,3,0.86171415256795
"149",4885,7,9.45695674204123
"150",4889,3,2.06269948612264
"151",4893,3,4.35672527492099
"152",4894,1,1.0084389679103
"153",4902,1,4.47213595499958
"154",4906,1,5.47722557505166
"155",4937,3,2.8304519932911
"156",4939,5,10.368834353231
"157",4940,1,0.440652648919759
"158",4957,12,17.9904828746342
"159",4995,1,3.46410161513775
"160",4996,1,1.03509833880651
"161",5007,10,8.26318736169667
"162",5018,1,1.73205080756888
"163",5020,1,0.554700195601191
"164",5029,1,0.622171016682712
"165",5038,4,9.12003476724143
"166",5042,1,0.9325048080305
"167",5060,2,1.51294701897233
"168",5063,5,14.10019993291
"169",5066,1,0.845154254559486
"170",5068,1,0.755928945734981
"171",5069,1,0.882734829379695
"172",5081,11,17.4145122263414
"173",5090,3,2.40451667517499
"174",5091,1,0.866025403784439
"175",5114,2,1.995867261597
"176",5130,1,1.22474487139159
"177",5132,1,7.74596669241483
"178",5134,11,9.69999762371873
"179",5140,1,0.99176940717084
"180",5159,3,2.91160470783697
"181",5172,1,0.387783366069253
"182",5186,2,1.51190611834555
"183",5194,1,7.74596669241483
"184",5201,2,2.10375762357516
"185",5204,1,1.3912166869327
"186",5226,1,0.741929049842369
"187",5236,1,2.92770021877241
"188",5239,5,5.8046873051638
"189",5255,1,0.0340367742302352
"190",5260,11,15.4020589482622
"191",5279,1,0.919277119262739
"192",5284,1,5.47722557505166
"193",5302,1,1.58113883008419
"194",5304,1,3.46410161513775
"195",5306,1,2.73861278752583
"196",5311,1,0.209733805095888
"197",5315,1,7.74596669241483
"198",5327,2,4.44948974278318
"199",5345,4,1.96124289810699
"200",5351,2,0.986938737814229
"201",5360,2,6.38382240275403
"202",5371,2,2.46421291610477
"203",5373,1,0.850230301741828
"204",5376,2,2.31628342768779
"205",5379,1,0.115818029684501
"206",5386,7,7.11099692383189
"207",5405,3,3.51719682011337
"208",5406,9,21.1461266888594
"209",5414,2,1.37162819297702
"210",5420,2,11.6189500386223
"211",5426,2,3.06196608502539
"212",5441,1,3.46410161513775
"213",5446,2,0.175160025423547
"214",5448,1,0.102124145039261
"215",5488,1,0.122704771708357
"216",5493,15,16.1321157446701
"217",5515,2,2.08042767254817
"218",5525,1,0.894427190999916
"219",5526,1,1.51910905039763
"220",5539,0,0
"221",5543,1,0.524623061826298
"222",5546,1,4.47213595499958
"223",5547,1,0.410535412601641
"224",5549,1,0.719194952012318
"225",5552,2,8.68530312894862
"226",5556,2,1.06025835302987
"227",5561,1,0.0461134795911131
"228",5624,2,5.90089044769421
"229",5635,4,2.14573104989549
"230",5637,1,1.36930639376292
"231",5642,2,1.7893171344853
"232",5652,1,1.22474487139159
"233",5655,1,0.219705059113349
"234",5658,4,8.61488631889188
"235",5661,1,1.04446593529899
"236",5679,1,2.33549683236779
"237",5694,1,0.523423921883591
"238",5696,3,3.27264154447887
"239",5706,2,4.08240075700732
"240",5715,1,1.61514570612066
"241",5718,4,4.02971902638339
"242",5725,1,1.08465228898482
"243",5729,1,2.44948974278318
"244",5743,1,0.821070827030166
"245",5751,1,1.46385010913003
"246",5755,1,0.24123831785187
"247",5795,1,1.01709525512609
"248",5796,2,5.19761220478313
"249",5810,1,0.341659943511088
"250",5823,1,2.07019667785455
"251",5825,1,0.877058019175471
"252",5832,1,0.99176940717084
"253",5834,1,1.30930734130685
"254",5839,4,3.43589685828307
"255",5868,1,0.257484644202329
"256",5869,1,1.24034734570603
"257",5876,2,2.0487878787459
"258",5882,1,0.530744891638158
"259",5904,3,10.2158383625775
"260",5909,2,7.21074874252541
